image_idx,sheet_id,label,filename,width_px,height_px,year,method,instrument,crop_filename,crop_w,crop_h,pct_retained,margin_left,margin_right,margin_top,margin_bottom
52,33-XXV-g,KK 083-04-01/085-04-10_054 - 05978 - 053,052_KK 083-04-01-085-04-10_054 - 05978 - 053.jpg,5026,6091,1928,terrestrial,theodoliet boussole en boussole tranche montagne,crop_052.jpg,4358,4354,62.0,0.07004,0.06287,0.07815,0.20702
53,33-XXV-h,KK 083-04-01/085-04-10_055 - 05978 - 054,053_KK 083-04-01-085-04-10_055 - 05978 - 054.jpg,5011,6070,1928,terrestrial,boussole tranche montagne,crop_053.jpg,4345,4339,62.0,0.07025,0.06266,0.07842,0.20675
54,33-XXV-m,KK 083-04-01/085-04-10_056 - 05978 - 055,054_KK 083-04-01-085-04-10_056 - 05978 - 055.jpg,5004,6085,1928,terrestrial,boussole tranche montagne,crop_054.jpg,4338,4350,62.0,0.07034,0.06275,0.07823,0.2069
55,33-XXV-q,KK 083-04-01/085-04-10_057 - 05978 - 056,055_KK 083-04-01-085-04-10_057 - 05978 - 056.jpg,5024,6065,1928,terrestrial,boussole tranche montagne,crop_055.jpg,4356,4335,62.0,0.07006,0.0629,0.07848,0.20676
56,33-XXVI-d,KK 083-04-01/085-04-10_058 - 05978 - 057,056_KK 083-04-01-085-04-10_058 - 05978 - 057.jpg,5021,6387,1931,terrestrial,bergboussole,crop_056.jpg,4383,4688,64.1,0.0709,0.05616,0.07327,0.20698
57,34-XXIII-ie,KK 083-04-01/085-04-10_059 - 05978 - 058,057_KK 083-04-01-085-04-10_059 - 05978 - 058.jpg,5035,6558,1931-1933,aerial,luchtfoto,crop_057.jpg,4365,4852,64.1,0.06991,0.06316,0.07014,0.20708
58,34-XXIII-k,KK 083-04-01/085-04-10_060 - 05978 - 059,058_KK 083-04-01-085-04-10_060 - 05978 - 059.jpg,5044,6069,1932-1933,aerial,luchtfoto,crop_058.jpg,4373,4338,62.0,0.07058,0.06245,0.07843,0.20679
59,34-XXIII-l,KK 083-04-01/085-04-10_061 - 05978 - 060,059_KK 083-04-01-085-04-10_061 - 05978 - 060.jpg,5083,6129,1931-1933,aerial,luchtfoto,crop_059.jpg,4407,4381,62.0,0.07004,0.06295,0.07832,0.20688
60,34-XXIII-n,KK 083-04-01/085-04-10_062 - 05978 - 061,060_KK 083-04-01-085-04-10_062 - 05978 - 061.jpg,5072,6101,1933,aerial,luchtfoto,crop_060.jpg,4397,4361,62.0,0.07019,0.06289,0.07802,0.20718
61,34-XXIII-o,KK 083-04-01/085-04-10_063 - 05978 - 062,061_KK 083-04-01-085-04-10_063 - 05978 - 062.jpg,5056,6099,1931-1933,aerial,luchtfoto,crop_061.jpg,4384,4360,62.0,0.06962,0.06329,0.07739,0.20774
